variable,group,value
Wed,32,4648.0
Wed,33,6211.0
Wed,34,5788.0
Wed,35,4507.0
Wed,36,4777.0
Wed,37,5312.0
Tue,37,4509.0
Tue,38,3241.0
Tue,39,4240.0
Tue,40,3641.0
Tue,41,4682.0
Tue,42,4341.0
Tue,43,4128.0
Tue,44,4266.0
Tue,45,5542.0
Tue,46,6408.0
Tue,47,5019.0
Tue,48,7241.0
Tue,49,4516.0
Tue,50,4686.0
Tue,51,4037.0
Tue,52,3861.0
Tue,1,4242.0
Tue,2,4606.0
Tue,3,4963.0
Tue,4,4726.0
Tue,5,4925.0
Tue,6,4619.0
Tue,7,6560.0
Tue,8,6686.0
Tue,9,7470.0
Tue,10,5667.0
Tue,12,5814.0
Tue,13,9642.0
Tue,14,9269.0
Tue,15,9696.0
Tue,16,6928.0
Tue,17,9663.0
Tue,18,8679.0
Tue,19,10059.0
Tue,20,10525.0
Tue,21,9454.0
Tue,22,8010.0
Tue,23,8799.0
Tue,24,8454.0
Tue,25,8501.0
Tue,26,9822.0
Tue,27,8626.0
Tue,28,9721.0
Tue,29,9455.0
Tue,30,11434.0
Tue,31,12110.0
Tue,32,10225.0
Tue,33,9405.0
Tue,34,8817.0
Tue,35,10331.0
Tue,36,9326.0
Tue,37,9336.0
Mon,37,0.0
Mon,38,3432.0
Mon,39,3034.0
Mon,40,4354.0
Mon,41,3329.0
Mon,42,4642.0
Mon,43,3620.0
Mon,44,3418.0
Mon,45,4423.0
Mon,46,5834.0
Mon,47,5129.0
Mon,48,4963.0
Mon,49,4843.0
Mon,50,4518.0
Mon,51,4059.0
Mon,52,3051.0
Mon,1,4759.0
Mon,2,4098.0
Mon,3,3430.0
Mon,4,5426.0
Mon,5,2956.0
Mon,6,4492.0
Mon,7,5774.0
Mon,8,7148.0
Mon,9,5365.0
Mon,10,6017.0
Mon,12,6365.0
Mon,13,11739.0
Mon,14,11816.0
Mon,15,10538.0
Mon,16,6280.0
Mon,17,10845.0
Mon,18,11205.0
Mon,19,11117.0
Mon,20,11431.0
Mon,21,11128.0
Mon,22,10341.0
Mon,23,7114.0
Mon,24,9316.0
Mon,25,10346.0
Mon,26,9625.0
Mon,27,10082.0
Mon,28,9982.0
Mon,29,12309.0
Mon,30,10675.0
Mon,31,12370.0
Mon,32,10809.0
Mon,33,12731.0
Mon,34,8312.0
Mon,35,10965.0
Mon,36,11216.0
Mon,37,10343.0
